Year,major,score
2017,原子与分子物理,320
2017, 环境工程,330
2017,应用统计硕士,395
2017,信号与信息处理,320
2017,凝聚态物理,320
2017,粒子物理与原子核物理,320
2017,理论物理,320
2017,环境科学与工程,330
2017,金融硕士,385
2017,计算数学,320
2017,水利工程,330
2017,建筑学,330
2017,大地测量学与测量工程,330
2017,土木工程,330
2017,风景园林,310
2017,水利工程,330
2017,土木工程,330
2017,建筑学,380
2017,交通运输工程,330
2017,城市规划,390
2017,管理科学与工程,330
2017,土木工程,330
2017,土木工程,330
2017,水利工程,330
2017,管理科学与工程,330
2017,建筑学,330
2017,药物分析学,343
2017,美术学,380
2017,工商管理硕士（MBA）,165
2017,风景园林学,330
2017,工业工程,270
2017,工程管理硕士,165
2017,项目管理,265
2017,土木工程,330
2017,会计（二）,222
2017,城乡规划学,330
2017,物流工程,310
2017,生物医学工程（工学）,265
2017,国际商务硕士,325
2017,资产评估硕士,325
2017,情报学,355
2017,金融硕士,325
2017,技术经济及管理,335
2017,会计硕士,215
2017,国际贸易学,325
2017,国民经济学,325
2017,企业管理,360
2017,产业经济学,345
2017,金融学,325
2017,会计学,360
2017,区域经济学,325
2017,人口、资源与环境经济学,325
2017,管理科学与工程,350
2017,交通运输工程,270
2017,农产品加工及贮藏 工程,265
2017,光学,285
2017,应用经济学,325
2017,材料工程,320
2017,细胞生物学,285
2017, 农业工程 ,265
2017,课程与教学论,320
2017,化学工程与技术,280
2017,工业设计工程,280
2017,安全工程,290
2017,英语笔译（专业学位）,350
2017, 生态学 ,285
2017,马克思主义理论,315
2017,环境科学与工程,303
2017,管理科学与工程,335
2017,动物学,285
2017,药学,295
2017,管理科学与工程,358
2017,农业工程（专业学位）,265
2017,工业设计工程,333
2017,艺术设计（专业学位）,335
2017,工商管理,165
2017,哲学,300
2017,数学,337
2017,英语语言文学,265
2017,行政管理,379
2017,金融学 ,368
2017,凝聚态物理,285
2017,国际政治,360
2017,审计,220
2017,儿少卫生与妇幼保健学,290
2017,发育生物学,330
2017,药理学,290
2017,化学信息学,280
2017,冶金工程(工程硕士专业学位),285
2017,(专业学位)法律(非法学),350
2017,临床检验诊断学(专业学位),305
2017,政治学理论,345
2017,物流学,360
2017,会计硕士（专硕）,200
2017,海洋生物技术,310
2017,世界史,340
2017,国际金融学,360
2017,计算机科学与技术,295
2017, 固体力学,310
2017,车辆工程(工程硕士专业学位),295
2017,土地资源管理,350
2017,资源循环科学与工程,305
2017,环境工程,265
2017,思想政治教育,310
2017,应用心理(专业学位),310
2017,国外马克思主义研究,310
2017,马克思主义基本原理,310
2017,中国近现代史基本问题研究,310
2017,马克思主义中国化研究,310
2017,马克思主义发展史,310
2017,环境科学,290
2017, 核技术及应用,265
2017,材料物理与化学,290
2017,运筹学与控制论,290
2017,基础数学,290
2017,生物物理学,290
2017,管理科学与工程,340
2017,计算机科学与技术,265
2017,计算机技术(专业学位),265
2017,概率论与数理统计,290
2017,计算数学,290
2017,仪器仪表工程,265
2017,心理学,265
2017,统计学,290
2017,应用数学,290
2017,心理健康教育(专业学位),310
2017,计算机技术(专业学位),265
2017,管理科学与工程,340
2017,凝聚态物理 ,290
2017,汉语国际教育(专业学位),310
2017,粒子物理与原子核物理,290
2017,光学,290
2017,对外汉语教学,345
2017,建筑与土木工程(专业学位),265
2017,电气工程(专业学位),265
2017,计算机科学与技术,265
2017,动力工程及工程热物理,265
2017,理论物理,290
2017,供热、供燃气、通风及空调工程,265
2017,电气工程,265
2017,控制理论与控制工程,265
2017,音乐(专业学位),335
2017,美术(专业学位),335
2017, 食品工程(专业学位),265
2017,音乐与舞蹈学,335
2017,体育教学(专业学位),260
2017,运动训练(专业学位),260
2017,社会保障,340
2017,食品科学,265
2017,艺术设计(专业学位),335
2017,旅游管理(专业学位),170
2017,体育学,310
2017,测绘工程(专业学位),265
2017,美术学,335
2017,设计学,335
2017,会计(专业学位),170
2017,发育生物学,290
2017,动物学,290
2017,学科教学（化学）,310
2017,生理学,290
2017,生物化学与分子生物学,290
2017,遗传学,290
2017,化学工程(专业学位),265
2017,材料工程(专业学位),265
2017,化学,290
2017,微生物学,290
2017,材料科学与工程,265
2017,课程与教学论,310
2017,水生生物学,290
2017,化学工程与技术,265
2017,化学,290
2017,电子与通信工程(专业学位),265
2017,化学工程(专业学位),265
2017,植物学,290
2017,数学,290
2017,应用化学,265
2017,文物与博物馆(专业学位),315
2017,物理学,290
2017,应用统计(专业学位),335
2017,光学工程(专业学位),265
2017,社会工作(专业学位),310
2017,电子科学与技术,265
2017,世界史,315
2017,社会保障,340
2017,英语笔译(专业学位),345
2017,英语口译(专业学位),345
2017,中国史,315
2017,民俗学,320
2017,日语语言文学,345
2017,考古学,315
2017,社会学,310
2017,日语语言文学,345
2017,法语语言文学,345
2017,俄语语言文学,345
2017,外国语言学及应用语言学,345
2017, 英语语言文学,345
2017,亚非语言文学,345
2017,社会体育指导,260
2017,欧洲语言文学,345
2017,运动训练,260
2017,民族传统体育学,260
2017,体育教育训练学,260
2017,企业管理,340
2017,体育教学,260
2017,中国史,315
2017,工商管理(专业学位),170
2017,文物与博物馆,315
2017, 运动人体科学,260
2017,金融(专业学位),335
2017,比较文学与世界文学,345
2017, 体育人文社会学,260
2017,考古学,315
2017,国际贸易学,335
2017,世界史,315
2017,光学工程（专业学位）,265
2017,金融硕士（专业学位）,335
2017,应用统计硕士（专业学位）,335
2017,学科教学（物理）   ,310
2017,新能源科学与工程,290
2017,材料物理与化学,265
2017,产业经济学,335
2017,课程与教学论,310
2017,金融工程,335
2017,金融学,335
2017,光学工程,265
2017,统计学,290
2017,检测技术与自动化装置,265
2017,物理学,290
2017,学科教学（数学）,310
2017,法律（法学）(专业学位),310
2017,英语口译（专业学位）,345
2017,法律（非法学）(专业学位),310
2017,日语语言文学,345
2017,英语笔译（专业学位）,345
2017,公共管理(专业学位),170
2017,数学,290
2017,学科教学(英语) ,310
2017,外国语言学及应用语言学,345
2017,区域经济学,335
2017,行政管理,340
2017,哲学,285
2017,法学,310
